Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-01-04,23.753156661987305,23.757667004887693,22.997835924201404,23.13537213940266,270597600
2016-01-05,23.157913208007812,23.865885498795894,23.090273562249713,23.843338950209862,223164000
2016-01-06,22.704721450805664,23.081255885975757,22.517583538933,22.67315593698659,273829600
2016-01-07,21.746477127075195,22.57620283984095,21.74196850545963,22.249273586684012,324377600
2016-01-08,21.861469268798828,22.346227857182512,21.8163761667038,22.219965795163166,283192000
2016-01-11,22.215450286865234,22.334948527801405,21.94714174727492,22.314657152634666,198957600
2016-01-12,22.53787612915039,22.702469220218045,22.28535028483298,22.670903704702315,196616800
2016-01-13,21.958415985107422,22.815198491300194,21.938124609843808,22.619039929462637,249758400
2016-01-14,22.438663482666016,22.655115133793224,21.58639134204552,22.0869325599188,252680400
2016-01-15,21.899797439575195,22.030569837123405,21.500718174178445,21.690111257365654,319335600
2016-01-19,21.793827056884766,22.242509734760187,21.53228227890464,22.18839767456103,212350800
2016-01-20,21.823139190673828,22.138796054786017,21.063308233798463,21.442096126694782,289337600
2016-01-21,21.712657928466797,22.068897518731085,21.406020056200077,21.884013071057744,208646000
2016-01-22,22.86705780029297,22.876076763652687,22.179378615980323,22.237999297531434,263202000
2016-01-25,22.420635223388672,22.891864551220547,22.36877660271937,22.889609379837076,207178000
2016-01-26,22.544639587402344,22.74530681313795,22.111739620884507,22.531112001008523,300308000
2016-01-27,21.063304901123047,21.787059886927032,21.045266975698283,21.654034057349705,533478800
2016-01-28,21.214372634887695,21.31132435199007,20.831076108775935,21.146732982145863,222715200
2016-01-29,21.947145462036133,21.947145462036133,21.27299382328388,21.37220070584501,257666000
2016-02-01,21.74197006225586,21.80510109054244,21.509737328119584,21.75098902632416,163774000
2016-02-02,21.30231285095215,21.654043956573947,21.25721801677497,21.514252550912754,149428800
2016-02-03,21.723926544189453,21.8344058152628,21.212112936400178,21.41954389602105,183857200
2016-02-04,21.898481369018555,22.063967550836807,21.578846044582523,21.73072950888564,185886800
2016-02-05,21.31361961364746,21.97102794813434,21.238812432834692,21.880350638286867,185672400
2016-02-08,21.538040161132812,21.69445670294883,21.091455965206304,21.111857446063695,216085600
2016-02-09,21.533510208129883,21.748869022008886,21.293216821858767,21.37482622276702,177324800
2016-02-10,21.370290756225586,21.841811340568256,21.33175346517059,21.74433354408901,169374400
2016-02-11,21.241073608398438,21.472300785963785,20.989444948443747,21.26147682031325,200298800
2016-02-12,21.30681800842285,21.422431615695398,21.084660426868574,21.352157525748236,161405600
2016-02-16,21.907548904418945,21.95515409111207,21.447363703526644,21.54030666911073,196231600
2016-02-17,22.24304962158203,22.26345109888969,21.79646550335846,21.9143447411389,179452800
2016-02-18,21.821409225463867,22.417609568857365,21.78287020599631,22.40627425792121,156084000
2016-02-19,21.771533966064453,21.93475273827098,21.717128285170748,21.762466064327935,141496800
2016-02-22,21.961956024169922,21.966490840071426,21.744331558086568,21.83274144338526,137123200
2016-02-23,21.465497970581055,21.875810547611483,21.433761181723746,21.853141659788445,127770400
2016-02-24,21.785140991210938,21.848614591431566,21.154936346840564,21.304554172668524,145022800
2016-02-25,21.93475914001465,21.93475914001465,21.59245310004071,21.77380772864932,110330800
2016-02-26,21.96875762939453,22.22038456002593,21.893948734855904,22.034496892385544,115964400
2016-02-29,21.91888427734375,22.26799071029583,21.909816375634232,21.957421562465143,140865200
2016-03-01,22.789384841918945,22.843790529227164,22.08437139689242,22.136511405643443,201628400
2016-03-02,22.839258193969727,22.87099499007076,22.587629503793217,22.78485250487163,132678400
2016-03-03,23.00927734375,23.056882537607784,22.771249644935427,22.80072076222286,147822800
2016-03-04,23.35157585144043,23.519327680266386,22.979800593217988,23.206492908208507,184220400
2016-03-07,23.093156814575195,23.31078132426256,22.886865887861397,23.21103610875032,143315600
2016-03-08,22.90273094177246,23.06821714064854,22.759915364583282,22.846057846606428,126247600
2016-03-09,22.92313575744629,23.027414052296553,22.73044583679451,22.966206136705175,108806800
2016-03-10,22.93446922302246,23.17703001687174,22.703243740751244,22.988876643166282,134054400
2016-03-11,23.181560516357422,23.186093602429043,23.009273843703955,23.1770257007604,109632800
2016-03-14,23.24049949645996,23.328911106160273,23.072747637862136,23.10221875093738,100304400
2016-03-15,23.707490921020508,23.843506011179247,23.542004712818144,23.56694101445858,160270800
2016-03-16,24.02259635925293,24.099670952955726,23.7097597083921,23.71429452538987,153214000
2016-03-17,23.984058380126953,24.135941884238964,23.793635850733928,23.920583050645355,137682800
2016-03-18,24.011255264282227,24.142737253141327,23.845770803757425,24.106465643997222,176820800
2016-03-21,24.008996963500977,24.403441321760276,23.83444281752646,24.01353005127419,142010800
2016-03-22,24.19261932373047,24.32183395523152,23.850313228884243,23.859381134720866,129777600
2016-03-23,24.05885887145996,24.27195023734985,24.006720598652056,24.13820257886179,102814000
2016-03-24,23.9545841217041,24.086066121263983,23.77776433654975,23.909246336109632,104532000
2016-03-28,23.84577178955078,24.072464167496427,23.81630067352147,24.029392062238568,77645600
2016-03-29,24.410236358642578,24.435172659633167,23.775496981742304,23.77776438988481,124760400
2016-03-30,24.8364200592041,25.031375671524557,24.618795551630864,24.630130864020177,182404400
2016-03-31,24.707202911376953,24.913493814859084,24.68226661030712,24.8726891157926,103553600
2016-04-01,24.933889389038086,24.93615679665031,24.5281099027132,24.659591871817966,103496000
2016-04-04,25.1900634765625,25.432624307792803,24.99737352719438,25.031377737643226,149424800
2016-04-05,24.893091201782227,25.10164951845118,24.80468130659051,24.825084521379363,106314800
2016-04-06,25.153789520263672,25.15832433698267,24.754810395757254,24.988305030062563,105616400
2016-04-07,24.605195999145508,25.031377135206167,24.50998559580099,24.924831418809514,127207600
2016-04-08,24.63239860534668,24.884025594437283,24.521318076912685,24.68907170900758,94326800
2016-04-11,24.713998794555664,25.074440523970477,24.670928424902264,24.702665214973337,117630000
2016-04-12,25.035911560058594,25.049512551887343,24.632399326897133,24.786548513025405,108929200
2016-04-13,25.398616790771484,25.46662347328959,25.1175186980733,25.1175186980733,133029200
2016-04-14,25.412216186523438,25.477957186166464,25.237663809870032,25.30340480951306,101895600
2016-04-15,24.902156829833984,25.457554181436986,24.874954851968493,25.41448207711589,187756000
2016-04-18,24.36489486694336,24.698131173127415,24.24248078875262,24.684530185392465,243286000
2016-04-19,24.235689163208008,24.48278308827832,24.081538237545214,24.45557937332864,129539600
2016-04-20,24.285554885864258,24.503179370640357,24.04299410006453,24.17447610009353,122444000
2016-04-21,24.02259635925293,24.240220877945806,23.92058373111425,24.240220877945806,126210000
2016-04-22,23.956846237182617,24.13820079854611,23.716552913472476,23.804962786517727,134732400
2016-04-25,23.82083511352539,23.950049697733316,23.69162052931747,23.80269930848993,112126400
2016-04-26,23.655351638793945,23.870710456916342,23.555608158682986,23.555608158682986,224064800
2016-04-27,22.175052642822266,22.37680875996707,21.689930998280158,21.76247250411283,458408400
2016-04-28,21.49724006652832,22.188650828210754,21.365758063359937,22.12744464302586,328970800
2016-04-29,21.25014305114746,21.472302342805527,20.97131239445713,21.30681614570532,274126000
2016-05-02,21.22747039794922,21.327215580145463,20.94637238301696,21.302279284596402,192640400
2016-05-03,21.576580047607422,21.70352722254671,21.236541489426717,21.354420761938123,227325200
2016-05-04,21.352155685424805,21.739799445136008,21.268278882746422,21.58111374246276,164102000
2016-05-05,21.265483856201172,21.454784488368706,21.13776378633173,21.438819479635022,143562000
2016-05-06,21.14689064025879,21.313382655087167,20.948466862255355,21.295138170487395,174799600
2016-05-09,21.16285514831543,21.386365304832808,21.117239587761883,21.21075018185487,131745600
2016-05-10,21.306543350219727,21.340754590600596,21.00776878034248,21.28601765002479,134747200
2016-05-11,21.0989990234375,21.3407554490906,21.08759469616645,21.320229748069956,114876400
2016-05-12,20.604076385498047,21.160574046794167,20.40565435122547,21.146890248583844,305258800
2016-05-13,20.6451358795166,20.907419779692155,20.52653886503228,20.52653886503228,177571200
2016-05-16,21.411457061767578,21.527774585849215,20.902856090687028,21.07162934323763,245039200
2016-05-17,21.322507858276367,21.59847550804325,21.213033979719814,21.56426600852928,187667600
2016-05-18,21.566539764404297,21.7147872698688,21.413731573565634,21.475312136477342,168249600
2016-05-19,21.484437942504883,21.58479044200801,21.340752832807443,21.58479044200801,121768400
2016-05-20,21.717071533203125,21.76496656660928,21.557419681793558,21.584789018049523,128104000
2016-05-23,21.993043899536133,22.166379586489988,21.81970821258228,21.865323782862813,152074400
2016-05-24,22.328310012817383,22.371642627703025,22.08655185057322,22.173220560456528,140560800
2016-05-25,22.720590591430664,22.747958186847455,22.376200515305563,22.503920600732343,152675200
2016-05-26,22.90077018737793,22.973753348456786,22.497080718241886,22.73427642676213,225324800
2016-05-27,22.8870849609375,22.914454299236763,22.636205450056355,22.679539800682896,145364800
2016-05-31,22.775333404541016,22.898492835892128,22.53813765601918,22.71603403239653,169228800
2016-06-01,22.456031799316406,22.70235066674476,22.426382982703345,22.58375192018023,116693200
2016-06-02,22.287256240844727,22.31462384103916,22.03865618539083,22.259886900594328,160766400
2016-06-03,22.332866668701172,22.412691723878453,22.225672277439237,22.303217859651237,114019600
2016-06-06,22.49479103088379,23.238307900567143,22.24847404256947,22.348824763714134,93170000
2016-06-07,22.586030960083008,22.777612862996868,22.570065946511516,22.63620721418083,89638000
2016-06-08,22.565505981445312,22.706909894727474,22.50620661197368,22.583750468927636,83392400
2016-06-09,22.727434158325195,22.804978004438173,22.456027216818192,22.465150329311918,106405600
2016-06-10,22.540414810180664,22.6590117930549,22.46058975054841,22.47199233617828,126851600
